,Review
1681,"[...] 
  if you are curious about the cambridge patonists, patrides carefully edited selection of texts gives you the cream of the crop! - benjamin whichcote, ralph cudworth, john smith, henry more et al. - material reprinted from the original texts, complete with all the archaic but fascinating english spellings. the texts are fully annotated with comparisons and 
references to a wide range of cognate works. 

 if you are reading the cambridge platonists as part of an academic exercise or are otherwise familiar with their milieu, well and good. you will know what to expect. i think it is worth saying something here - for the general reader. i am sufficiently 'unmodern' (or perhaps 'un-postmodernist') to
read the cambridge platonists because i think they still have something valuable to say! 

 not everyone would agree with me - but, i think the portrait of benjamin whichcote which graces the cover of this book (and the frontispiece) says something about the sort of men we are dealing with. (the portrait still hangs in the gallery at emmanuel college, cambridge). there is composure in that expression. it seems to infuse the whole being of the man. it is the expression of a mind which has found calm waters,
seen eternal verities. 

  one of the papers in this book - ralph cudworth's, was preached as a sermon before the house of commons (i.e. the british parliament). things are different with us today. we are no longer certain of eternal verities. it seems almost incomprehensible - now, to think that when the cambridge platonists were expounding their ideas in the 17th c., they were touching on matters of concern to most thinking people.
religion and science had not yet parted company (despite being called a 'father of modern science' in school books, issac newton was a deeply religious man, very much in tune with the ideas of the cambridge platonists).   

 the great beauty of the cambridge platonists, is their calm confidence, their utter conviction that there are eternal verities, that reason and faith are complementary faculties. thus, on the one hand, they looked back to the philosophers of antiquity (strictly speaking, they are neo-platonists, taking in everything between plato, plotinus, ficino/renaissance thought, even hermeticism) - and the legacy of christianity, while on the other hand - they were alive to the emerging 'scientific' spirit, the renewed quest to understand the principles ordering the phenomenal universe. for them, there was an intelligent - and intelligible order in the universe. for them, reason (capital r) still had its pre-kantian, classical sweep. 'reason' was not a mere idea in the head, an itching in the cranium, but presupposed the divine nous (intellect), intimately connected with the activity of a divine energy (energeia)informing the pattern of the universe. we find them preaching against false religious 'enthusiasm' - as soundly as they preached against atheism. 

     ""good men spiritualise their bodies; bad men do 
      incarnate their souls. "" 

     ""we are no more than second causes; and our
      suffiency is only in god, who is the first.
      a second cause is no cause, divided from 
      the first. "" 

      - benjamin whichcote.   
     
"
378,"i did enjoy this book as it was my first introduction to magnet therapy.  this is a topic that i intend to explore much further too.  it was very helpful and gave good information
"
1245,"that so many people gave this book five stars really concerns me. luckily, i bought this book used, otherwise i might be kicking myself for paying full price. between her utterly uninspired ""devotional dances"" to things such as sex, wisdom, and the ""sticky one"" (a term she made up for the astral body), and her constant blabber about masturbation and rubbing your juices all over everything to ""anoint"" it, i was unimpressed, to say the least. however, driving on a trip a friend and i got a lot of laughs out of flipping through this book. it's very, very amusing if you don't take it seriously. the thing that makes me sad is that she's just using her sexuality to sell a feel good waste of paper with absolutely no depth. there's nothing evolutionary about it, unless you consider being a wanton, idiotic freak ""evolutionary"". if this is what humanity is evolving into, i am frightend
"
803,"`the savory way' is an early (1990) book from leading vegetarian cookbook author, deborah madison so, as ms. madison has a new book on the way, i thought it was high time for me to catch up with her body of work so i can give an informed review of how her new volume fits into her other books.

ms. madison is a former colleague of alice waters and lindsey shere at chez panisse who specializes in a very general way, like mollie katzen and madhur jaffrey, on dishes that fit into a vegetarian lifestyle. note that the term `vegetarian', especially as used by these three authors, is extremely misleading, as it is much more appropriate to say that they construct meals of everything under the sun except meat, fowl, fin fish and shell fish. both madison and jaffrey make extensive use of milk, cheese, yoghurt, and eggs.

madison's objective in this book is, in fact, to cover as broad as possible a survey of what can be done without using animal flesh. the book's title may be a bit misleading to some foodies in that `savory' is often one of the words used to divide dishes in two great groups of `savory' and `sweet'. this book in fact includes two rather long chapters on sweets.

a first look at this book shows lots of headnotes to the many recipes. the first thing you need to know if you are put off by `chatty' recipe books is that these notes are almost exclusively devoted to an understanding of the cooking involved with the recipe and how to get the best results from your ingredients. while little stories about the historical provenance of a recipe may interest many, including myself, that is not what this book is about. on top of this, i firmly agree with the blurbed opinion from mollie katzen who compliments both her cuisine and her writing. almost all professional culinary writers are pretty good, or have an excellent copy editor at work on their prose, but ms. madison is a food service professional who writes very well. i often wish the soon to be beknighted jamie oliver had a bit more talent with words, as i find his books so comforting in spite of the heavy contribution from his editors.

the very first attraction of the book is its table of contents, which lists every single recipe title in the front of the book. this is doubly useful in that this relatively long book divides recipes into chapters covering eleven different types of dishes suitable for just about any time of the day, including a good selection of recipes very good for breakfast. the eleven recipe chapters are:

quick bites with 40 pages of recipes for sandwiches, toasts, and spreads.
salads to start or make a meal with 42 pages
soups and stews with 50 pages of thick, thin, and pureed soups, including a new one with my favorite fall ingredient, chestnuts.
eighteen quick pasta dishes for five and company, 32 pages
stovetop vegetables, 27 pages of sautes and braises.
baked and roasted vegetables, 25 pages with ratatouille, gratins, tians, and other goodies.
grilled vegetables and their sauces, 11 pages with two to six sauces per grilled dish.
down to earth, 26 pages on rice, potatoes and beans (although beans appear throughout all chapters!)
morning foods for day and night, 26 pages of eggs and cheese and cereals and breads.
finishing touches, 31 pages of sauces, salsas, condiments, dressings, pastes, and you name it.
desserts, 45 pages on fruit dishes, cream cheeses, pastries, and custards
sweetmeats, 12 pages on sweet pastes, peels, syrups, dried fruits, and other dessert dressings.

every recipe i examined is relatively simple to prepare with fewer expensive or rare ingredients than you may find with jaffrey or jack bishop, and great tips on understanding the recipes and the ingredients.

the appendix is just right for the occasional home cook who is lost in the forest of equipment you can find in a first rate kitchen supply store such as the second floor at zabars. ms. madison puts it all in perspective by highlighting all my favorite tools such as gratin and tian pots, the mortar and pestle, a few good knives, the food mill and the pizza stone and peel. the chapter on the pantry has lots for the novice and a few good tips for the foodie, such as the fact that mexican olive oils can be very spicy. possibly the best items in the appendix are the lists of dishes for special purposes such as entertaining, feeding large groups, and fitting into a low fat diet (note that for the number of recipes in this book, this low fat list is surprisingly short).

the list of sources is short with no internet sites provided, but i recognize that virtually all of these vendors are still in business. the bibliography is also brief, but hits all the right titles, especially joy larkcom's excellent `the salad garden'.

this book is a great resource for `liberal' vegetarians who simply eschew meat. i would add this to madhur jaffrey's `world vegetarian', peter berley's `the modern vegetarian kitchen', and jack bishop's `the complete italian vegetarian' to create a great core vegetarian library. i cannot at this time compare this to ms. madison's other books, as this is the first i have read, although i sense many of her more recent books have a narrower scope, focusing on vegetable dishes. i plan to review her other books in the next few days.

highly recommended for both vegetarians and foodies in general.
"
942,"mark l. sirower's thought-provoking and complex book is actually a critically acclaimed academic study that challenges the reasoning behind corporate acquisitions. pointing out that acquisitions usually devalue the acquiring companies (a loss from which they rarely recover), sirower delves into management fundamentals and mathematical analyses to get to the bottom of merger and acquisition problems. three detailed appendices feature plenty of financial calculations, performance measures and data from various corporate acquisitions to back up his assertions. we [...] recommend this book to those involved in mergers and acquisitions and to other readers intrigued by the inside view of this ""carnivorous quest.
"
1676,"beginning with the introduction, i was taken on a fabulous journey. these gifted authors write a wonderful narrative.  lande's snapshots add a lot to this impressive and comprehensive companion. they are as engaging as any short story in the new yorker!
i found the collection of old posters designer appealing integrated with beautiful photography, as one would expect from national geographic. 
the guide is uniquely for both armchair and active travelers and two books in one. the first carefully expertly evaluates top ten lists on everything travel related, from hotels to hideaways, national parks to international markets.  subjective of course. we all have our favorites.  i particularly liked a chapter called ""ten best things to do on sunday afternoons in ten cities"".
part two includes literary and historical journeys, elevating this travel guide above all others.  ready made and travel ready. i'm on my way on the road to mandalay! 
the book ends at lands end, with a country-by-country supplement to best destinations. what a travel kit!  national geographic's ten best of everything is passport perfect in every way. you'll love every moment.
"
61,"hugh farnham is a blue-collar survivalist who likes to play bridge.  his college-age daughter karen, her friend barbara, his lawyer son duke, his alcoholic wife grace, and house servant joe are playing cards at his house the night the bombs hit.  everyone scrambles to safety inside hugh's modern bomb shelter.

as the bombs fall and his wife is passed out, hugh starts up an affair with his daughter's friend barbara, right in the shelter.  as if hugh's shallowness and arrogance wasn't enough to turn you against the protagonist, this nauseating little scene will.

when the shakes and quakes finally end, the family pours from the shelter to find themselves in an impossible, pristine, clean world.  at first glance, it looks like utopia, but then as they settle into a rustic lifestyle they are suddenly set upon by an advanced race, imprisoned, and brought into a vastly different culture as slaves.  somehow, hugh needs to find a way to break free of the civilization they are trapped in, so that he can be free with barbara.

of all the apocalypse fiction, this book is the worst.  the protagonist is so lowbrow, so arrogant, so unlikable, so self-centered, so shallow, so immoral that he simply cannot capture any interest.  he's not even a ""love to hate"" person.

the dialogue is flatly emotionless and yet irritatingly flippant, and barbara and hugh's constant prattlings of ""darling, dear, and beloved"" do not fit the characters.  neither does hugh's occasional spouting of words like ""shall"" and ""shan't"" along with racial diatribes that include heavy use of the ""n"" word.

there is little emotion from these one-dimensional characters even though they face the death of hugh's daughter and barbara's friend karen, cannibalism, castration (hugh cared more about his ""boys"" than he did his real children), pedophilia, racism, and $exual slavery, they show no more feeling than they would biting into a doughnut.

the entire plot-over-plot had a contrived and vapid feeling to it, as if the author himself didn't quite believe his story.  and if he doesn't believe, how can he expect the reader to?

overall, there is no depth or flavor in this story at all, other than the ugly aftertaste of a musty trailer park visit in the dusty twilight, as old men drink cheap stinking whiskey and the wind blows over the city dump next door.  i recommend avoiding this book.
"
1561,"i teach a grade 5/6 enrichment program and am always looking for unique, stimulating material.  i have already written a fan letter to mr. zacarro about his challenge math book.  it is amazing.  every teacher should have a copy.  i didn't hesitate to buy the 10 things all future mathematicians and scientists must know: but are rarely taught and was again amazed.  it is so good!  each chapter is a different &quot;truth&quot; about what math and science give us and the examples and stories used are interesting, poignant and relevant.  my kids love it and i hear them applying what they learn from this book to current events and problem solving. it will realy make them think. if you teach math or science to kids in grades 6 and up, you will be giving them a great gift by using this book in your classroom!  you may find yourself taking it home to read yourself at night too
"
912,"this book is great. a must read for anyone who has struggled with weight or health problems.
"
206,"no doubt about it.  this book covers the history of the border patrol.  however, it falls far short of what it ostensibly bills itself and ends up more as a ""fluff piece"" than anything else.

as someone who has not only served as a senior border patrol agent (13 years) but also a border patrol union president and outspoken critic of the agency, i have studied this agency inside and out without the affects of tunnel vision that typically accompany the job (many say a necessity).  pacheco, as an active agent (when he wrote the book at least), appears headed in the right direction with the book and then suddenly veers off target.  his somewhat ambiguous message that border security is a difficult task is obviously an attempt to straddle the line (i apologize for the pun) so as not to appear too contentious or controversial.  did he need to seek agency approval for publication since he was actively employed?  if so, then the credibility issue leaps out and the book is worth the historical content alone if nothing else.  if he did not need agency approval and was truly writing without restraint, then he failed to accurately convey the real state of the border patrol and border security.  

simply put, the border patrol, as with most of the homeland security subcomponents is disintegrating.  remember the incompetence of fema (a homeland security subcomponent)?  well, multiply that incompetence times ten.  heard about the poor morale of fema employees?  multiply that problem by one-hundred and you have an accurate picture of the border patrol.  a border patrol in which the vast majority of otherwise employable agents spend ninety-percent of their time trying to get out.  those that choose to stay in do so only because of the comparatively worse off agencies in dhs.  the bottom line is that as a former agent, i lose sleep at night knowing what i know.   

pacheco did cover the rigorous training regimen accurately even if it bordered on propaganda.  that alone may attract candidates to the difficult and completely unrewarding position of u.s. border patrol agent.  the field stories are completely unappealing to anyone who served more than a week in a law enforcement position unless they are reading about their own exploits.  

read the book for enjoyment and homage.  just don't expect critical analysis.  in fact, this book would be an enjoyable read at stewarts bridge (for you ib agents in san diego).
"
282,"anyone who reads this book would not be surprised at the runaway success of the &quot;left behind&quot; series, since it demonstrates that a preoccupation with bible prophecy affects a much wider demographic than the fundamentalist subculture. indeed, the impact of premillenial thought has extended all the way up to the reagan white house. and, christian or not, who hasn't heard of the term &quot;antichrist&quot; or the significance of the number &quot;666&quot;? this book presents a fairly comprehensive survey of popular eschatology, including the role of israel, russia, the arab countries, europe, and the united states. it also shows how those beliefs have changed over the years (turkey was considered gog and magog before russia was, and the pope was designated as the antichrist for years before hitler and henry kissinger came along). the final chapter, written at the brink of the collapse of the soviet union, demonstrates how, once again, premillenial thought adjusts itself (or sometimes not) depending upon world conditions. this is a fair, even-handed treatment of a religious and cultural phenomenon
"
1534,"two of us read this book and we were both disappointed.  characters are depressing and annoying.  the storyline is predictable.  we both loved john's two last books but fiction is not his forte.  i would not recommend this book to anyone
"
1942,"this book is important for every one who has a back ""issue"".  given 5 as gifts to loved one's experiencing back pain
"
725,"dave barry has written and selected an extremely humorous collection of his articles from the miami herald.  there is a huge margin in difference of quality in boogers are my beat than in his initial non fiction books such as dave barry's bad habits.  boogers are my beat is one of those rare books that once you start turning the pages you don't want to put down until the back cover.  dave barry educates his fellow man on a diverse range of topics such as why you can't use the towels hanging in the bathroom, the salt lake city olympics, babies on airlines, north dakota, bear in the big blue house and cell phones to name just a few.  

his article written the day after september 11 and one written a year after, about the philadelphia crashed plane are also included which prove barry could have been a serious writer if he had pursued that career.  thankfully he didn't because the rest of the book is hysterically funny as is his carl hiaasen style fiction novel tricky business.  big trouble isn't bad either. check them out along with his other non fiction novels as well.     
"
29,"harvey e. goldberg is one of the pioneering sociologists in the study of the jewish communities of north africa, especially  the libyan-jewish community. in this present work he brings to bear the experience and knowledge of a lifetime of study and practice as a jew to provide an overall historical, anthropological view of the jewish life- cycle. 
he opens with a chapter on 'being jewish' then  considers  birth, circumcision, naming . he goes on to discuss 'rituals of education' and then has a central chapter on 'marriage'.an  especially innovative section is  on 'pilgrimage and creating identities'in this one he opens one of the central themes of the book, the way the increased importance of the individual in jewish life and thought has led to more varied religious practice.  his chapter on 'death, mourning and remembering' also includes a consideration of communal remembrance. this is not as might be expected his closing chapter, as he adopts the traditional teaching which he is reminded of by  one of his many interviewees, and  ends with something 'good' his final chapter is on 'bonds of community and individual lives'. 
this book is extremely well written and a delight to read. i especially enjoyed the instances where he brings in personal anecdote to illustrate and deepen a set of observations. goldberg has a true command of traditional jewish religious sources, and these texts form one real basis of his life. but what is especially exciting is his reading the communal variations across time in response the religious and communal demands. 
as one long familiar with much jewish tradition and ritual i was surprised again and again by new observations and insights. anyone who loves jewish learning will love this work tremendously. 
i cannot recommend it more highly
"
1314,"it helped me place myself in the right direction as far as choosing a college. it's hard to choose colleges just by what you hear by older people but this book is extremely useful in information you need to know before  visitng a college. i would reccomand this book. the software was useful to  me, however if you know how to write a formal essay it's no big deal
"
1807,"these books will one day be recorded as history told before its time. while the mainstream shurgs him now, he will be required reading years to come
"
1591,"this book is written from the viewpoint of a flaming socialist with the attitude that anything white or european or is overly valued in american history textbooks.  loewen does have many valid points about what history textbooks omit, but the degree to which he is clearly slanted to the left is ludicrous.  ""lies my teacher told me"" could have been an amazing book, but all it did was aggrivate me and motivate me to write a 23 page paper debunking half of what the author wrote, much to the dismay of my idiotic sociology professor.  the only reason i didn't give the book 1 star is because the overall intent and effort put forth were good, but the book as a whole is just far too biased
"
523,"i was extremely disappointed with ""after midnight"".  the author, his widow, has written the book from her own life's perspective, and there is sadly little about the true brad davis.  his homosexuality, or perhaps bisexuality, is mentioned only in passing, and anyone in new york or hollywood that knew him will tell you that this was a huge part of his life.  i guess a book written by his wife can't be expected to delve too deeply into this area, but even other interesting details - his drug addiction, his acting technique, etc. are only minimally suggested here.  i wanted to put the book down after two chapters, but kept waiting for it to get interesting.  i suggest the publishers retitle the book ""my life with brad davis - the saga of a wife kept in the dark"", or something similar, to indicate to readers that this book is about susan bluestein, and tells very little about brad
"
1124,"this book is a very good study into what happen to the lost ten tribes of israel. mr. capt did a great job in back tracking by using the clay tablets that were found in assyria which list the tribes by the name which was used by the assyrians which is called the house of omri. this book is very in depth and very informative. i also noticed a person left one star because mr. capt did say anything about the jews. of course the jew's wouldn't be metioned they weren't taken into exile until 586 bce, and that was by babylonia and not assyria. when reading about the ten tribes people need to know that the ten tribes were not jews. over all i give five stars and it is a must have for a historian or an avid bible reader intrested in research
"
114,"i truly enjoyed northern lights.  ms. roberts ways with words are so descriptive and it kept me going with the mystery and growing love between the two characters in this book.  i truly enjoy nora roberts, she is an excellent writer.  i cannot wait to read more of her newer writings as well as her older writings. 
"
1525,"this unforgettable story illustrates the crazy, life-changing adventure of a seventeen-year-old boy who struggles to let go of his fading childhood and accept the phoniness of the adult world. holden caulfield's loneliness and lack of motivation combined with a traumatic childhood cause him to leave behind his youthful days at pencey prep to venture into the dynamic adult world of new york city. holden tries to hide his youthful innocence as he mirrors the habits of other adults, going to bars, drinking, and purchasing prostitutes. however, his bickering and sarcastic attitude suggest a hidden desire to stay young, a desire he stubbornly buries beneath his new, mature lifestyle. holden, like many others, longs to live in a place that is simple and motionless, a place where one needn't worry about the past or the future. holden also hopes to preserve the innocence in others, such as his sister, so they don't turn out like him, depressed and regretful. through salinger's vibrant attitude towards holden's experience in new york, we readers learn to stop running from our past to prevent losing our youth altogether. the catcher in the rye has survived generations as one of the world's best bildungsromans, not because it illustrates the fading youth and growing maturity of a memorable character, but because it demonstrates the confusion of a character as he fights desperately to protect what remains of his childhood
"
1085,"first off anyone who gave this book five stars was employed by the publisher to up the rating that simple. i mean look at some of them they are so cheesy one of them actually refers to the author as mr. miller who is he brown nosing for sounds like a greeting card they are so ""textbooky"" and insincere. the book itself is almost entirely filler on how to read music (which half the music books in borders are or they are just giant scale books that are reemed out like saw dust totally useless,  which leads to the great difficulty on how to actually find an explantion to this jargon and then someone comes along and says they have an answer that will make things clear but then they fall short)  up until half the the book and many times periodically things are just repeated terminology loosely defined such as hook which is just recording industry jargon not theory. book never goes into the physical principals that would actually explain some things in it as to why the notes themselves are in the order they are such as acoustics, never got an answer as to what a whole step or a half step was by the way and when i asked many teachers and questioned them they knew nothing or gave a circular answer defining it themselves without an outside reference only to find that they were just parroting it all along. the problems with this is everything is assumed in the entire field. i recommend the only book that i have found that made some sense to me called fractals in music by charles madden much more organized and assembles things from the very beginning working into more and more complex shapes and structures.
"
1876,"perhaps it has a lot to do with the book being written in english (or at least it appears to have been, there is no translator listed), but this is by far the most lucid thing i've read by latour. in a way it's a radical break, he finally embraces his troubled intellectual child actor network theory, stops expecting its meaning to magically emerge from the context and sets forth exploring what it actually is and how it can work.
"
63,"pretentious and boring, too clever for its own good, the only good chapters in this book are the ones about pontius pilate and jesus christ, and there's not enough of that.

and this was the michael glenny translation
"
775,"a recent dallas morning news column profiling t.d. jakes quoted a university of houston sociology professor saying that jakes is ""incredible in how he's able to diagnose people's pain.  he has an uncanny ability to put a finger on the human condition."" jakes' new book he-motions illustrates the verity of the professor's statement.  in he-motions, jakes nails the issues and challenges christian men face today in trying to fulfill their many roles and pursue their dreams.
	
jakes writes from his heart and soul as a pastor, father, husband and entrepreneur.  in the opening pages, he describes his motivation for writing: ""i want to share what i've learned.  i want to cut through so much of the junk imposed on men today and talk heart to heart about what it means to be a man, not in some touchy-feely group hug kind of way but in an honest, soul-bearing way, which also respects men and honors the women who love them and whom they love.""
	
jakes thoroughly succeeds in fulfilling his desire for this book.  not only does he address male readers, but he also targets female readers who hope to gain insights about men.  jakes' no-holds barred writing offers refreshing candor for those wanting an honest assessment of who they are and where they are in life.
	
jakes writes about his childhood, his ministry, his family and his ups and downs in life-always tying stories to life lessons for readers.  it does not take the reader long to discern that jakes possesses a vast breadth of wisdom and understanding about the inner workings of men in our culture.
	
jakes writes that ""a man must value himself.""  he-motions can help readers make great strides in finding value in themselves-regardless of their circumstances.  he encourages men to refuse to become discouraged but to keep moving toward their destiny while simultaneously enjoying the splendid moments of life's journey.	
	
the book is written as if jakes is in the room having a one-on-one talk with the reader.  if it was in fact such a talk, it would surely involve laughing, weeping, praying and dreaming.   one such example of the conversational style is when jakes writes about balancing family and career.
	
he writes, ""i'm here to tell you that if you don't contain your work life and segregate it from your home life, then your career will consume the marriage like a campfire blazing outside of its circle of rocks and roaring into a life-threatening forest fire.""
	
there is not an area of discussion where jakes lets men off the hook.  he writes authoritatively about power, money and sex.  in the financial arena, jakes commands readers, ""stop asking god to bless an area where you refuse to obey his word for your life."" 
	
in one relationship area after another, jakes' writing leads the reader to self-examination, awareness, forgiveness and improvement.  his writing on subjects such as a man's relationships with his father, children, wife, other men, time, money and god is honest and down to earth.  it is also practical, as are the questions for men and women at the end of each chapter.  

throughout the book, jakes references the life of david to shed light on the above relationships from a biblical perspective.
	
jakes encourages readers that ""someone needs to know who you are and where you are at all times in your walk and life.""  this book could be an effective tool to use in a discussion or accountability group to help people grow stronger relationships.   i encourage men and women to take advantage of the wisdom and insights jakes shares in this book
"
38,"though i am not a vogue reader, i picked up this book out of curiosity to see what anna w's splashes in the tabloids were all about.

while the subject is only mildly interesting to me, the author's prose reads like a 300+ page deposition against anna wintour from everybody who had/has a major or minor gripe with her. it's a heavy and boring read.

gossip, if one can get over oneself and admit that it is entertaining, should remain light and diverting. in this book, it is difficult to garner much sympathy for the subject or its author, much less derive the slightest enjoyment from it. i was very happy to put it down. 

perhaps this lackluster effort will compel someone else to attempt a better job. but then again, when that time comes, anna wintour may be have disappeared completely from public interest
"
1224,"love the idea for these books - perry mason - nancy drew - can't wait for the next one. love the research that gets sprinkled in to make a fun book. who's next mike hammer - philip marlowe??
"
742,"casual book browsers who stumble across braden's book, ""the isaiah effect,"" might undoubtedly be drawn to the implications of the title: that there exists some mystical, unifying code which is only now being fully understood through modern techniques, research, and understanding. i, as one such browser, had briefly read about the so-called ""bible code"" which computers have now enabled man to explore and thought that the subject of this book might be related. with my interest piqued at the title and the book description, i delved into the pages expecting to learn exactly what encompassed isaiah's ""precise instructions"" of prayer. i wanted to know exactly what braden claimed to have stumbled upon.

what i found in this 250 page foray into countless subjects was nothing other than a pastiche of new-thought concepts. the mixing of religions, for example - a sort of pick-and-choose spirituality which has slowly been creeping its way into the mainstream for decades - is recycled over and over again, drawing from endless sources of gnostic gospels and other lost books. in only one chapter does braden actually begin to describe in detail verses from the book of isaiah. instead he relegates the books of the essenes to positions of higher authority and prominence.

in the brief pages in which braden actually does discuss isaiah, his conclusions speak nothing of a decoded lost science. his basic premise of ""the effect"" is that people can alter their futures by the choices they make in the present. such a revelation is not a new interpretation of isaiah at all. any student of the bible and christianity knows that all the prophetic books of the old testament are records of god warning israel, and the world, of turning away from him.

to braden's credit, his discussions of the effects of prayer in today's society are commemorable, albeit somewhat misguided. i agree with him that people in today's society need to turn away from the petty details of life with which they've surrounded themselves. however, i believe braden over-emphasizes the role of feelings and emotion in prayer. he fails to discuss how humans, and their emotions, are extremly fallable and can change as quickly as the winds in his anecdotes.

braden wants desperately to believe that the true power of prayer is to be found in all the lost science which he has uncovered in ancient texts. in the process he fails to recognize that the blueprint for prayer has been known to man ever since he was created. humbleness before god and the filling of the holy spirit are the true keys to prayer - not cosmic emotions and human feelings.

a disappointing read
"
400,"this book is very readable because it is oriented to the general reader. chapter 1 gives his short autobiography as to why he became an anthropologist, and his experiences in kenya. a forensic pathologist is a medical doctor trained in pathology. a forensic anthropologist has a ph.d. and studied anthropology, specializing in the human skeletal system. chapter 3 tells about his laboratory, and the tools used for his work. chapter 4 has many of the cases he worked on. chapter 5 notes that most dismemberments result from the drug trade or motorcycle gangs. the interstate highway system provides arteries for crimes and serial killers. (p.63). chapter 6 discusses cases of suicide. many people kill themselves without intending to. it is important to distinguish between murder and suicide (p.86). page 87 tells why florida has an inordinate number of suicides. chapter 7 explains how forensic anthropology developed in response to murders. this chapter discusses some famous cases of this relatively young science. page 101 tells how to distinguish between bone from rock by taste! chapter 8 says bones are not solid and unchanging, they are constantly reshaping themselves.

in chapter 9 maples tells of the use of capital punishment (p.128), and discusses the various methods (pp.129-131). he seems emotionally involved. chapter 10 informs us about cremation. chapter 11 has maples' most difficult and most fascinating and perplexing case. the two dead in high springs fl were linked to a shocking double murder in new hampshire (p.152). page jennings' parents made a big, fatal mistake in sending their daughter so far away after her failure as a freshman (p.164). chapter 12 deals with the mia in vietnam, about 2200 compared to the 8170 in korea. hollywood movies created this popular image of captured men (p.187). a ""delusion"" (p.188)? maples describes the us army central identification laboratory that identifies remains recovered from vietnam. page 202 tells what happened at the executive office building. chapter 13 tells of his investigation to recognize the skeleton of pizarro, and correct an old mistake. the exhumation of president zachary taylor and the tests for arsenic poisoning are told in chapter 14. page 224 tells of his importance to those times: he backed free states in the new territories. his replacement changed his policies.

chapter 15 may be the most historically important. maples was part of a team that identified the bones of tsar nicholas and his family. maples draws political conclusions from ""rotten, neglected teeth"" (p.259). chapter 16 tells of the murder of five college students over two days in gainesville florida. maples identified the murder weapon (pp.271-273). the book concludes with the complaint that states are not funding forensic anthropologists, who are few and far between, especially in florida (pp.278-279). florida is ""the most crime-ridden state in the union"". that is a political decision for each state government. this recalls the most realistic portion of ""quincy, m.e."": whenever quincy wanted to do more research, his manager often said ""there's no money in the budget""!

"
1800,"this book provides fascinating details of what life was like for children in colonial america: how they played, what their education was like, what they wore, etc. the information is drawn from such primary sources as letters, journals and school primers. there are a number of pictures as well. i recommend it
"
499,"i was intrigued by the title, which supposedly links jedi wisdom to christianity.  well, after 60 pages or so, i have got the feeling that the staub is trying to wrap jedi in christian cloth and failing at that. the author speaks of the difficulty in leading a christian life.  but, i say that any religious life (be it christian, islam or otherwise) is hard because it turns the back on the norm or the conventional. 

i am convinced that yoda is a zen master; the force is derived from tao, not god as interpreted by the orthodox religion(i am purposefully leaving out christian mysticism, which is another beast altogether.). a better book on the subject of theology in star wars is ""the dharma of star wars.""
"
1677,"this books starts with such promise but i find it hard to believe that the people who wrote the glowing reviews were actually able to slog through it! minutiae-fest
"
879,"i have been a fan of sue henry since her first jessie arnold mystery.  i was looking forward to reading her lastest adventure, but was very disappointed in this outing.  the characters were one-dimensional.  after discovering who the ""bad guys"" were i needed to reread part of the book for clarification.  sue henry has a very annoying habit of foreshadowing at the end of many of her chapters.  ""...they hadn't a notion just how decidedly things could - and would - change in the next few hours.""  even the relationship between alex and jessie seemed stilted.  i realize it is difficult to create plausible mysteries for a civilian like musher jessie arnold, but this book tried too hard and accomplished too little
"
1796,"as a follower of the celebration story for many years, i was greatly disappointed by what i thought would be a new and interesting perspective on the model town.  it was nothing of the sort.  the book had the feel of  so many pages of anti-disney propaganda, and the repetitiveness of a bad  serial.  the authors of celebration u.s.a. clearly made up their minds  about celebration long before signing off on a mortgage.  lacking in the  detail needed to illustrate celebration's experiment with the tenets of  neotraditional style, the book offered splashes of cliched generalities  such as ""a return to the past"" and ""recapturing tradition.""  it soon became  some sort of mantra exhorting disney's ownership of the town, the rules  imposed on property improvements and maintenance, and, interestingly, the  attention the town received.  most tactless of all was the shadow of  mockery cast on every description of residents, conversation with  neighbors, and interaction with people doing what the authors should have  been doing: giving the town a chance
"
56,"is that those who read it and believe it, believe they actualy have girlfriends!!! come on! admit it you are guys who wear black sabbath t-shirts and live in your parents basements. you also believe that you can get control of you live by chanting some spells from a book made to get your money.  look, go get a hair cut, take a bath and loose 10 pounds and you will probably get that girl friend that you talk about.  oh by the way the necronomicon is fiction! . . except for the real copy that is in my basement, in my parents house where i used to live when i was 15
"
1890,"the hebrew, aramaic, and greek dictionaries are done very well, compared to the old strong's concordance i have
"
1016,"this is the latest in a never-ending series of books trying to generalize non-business world (eg. sports, armed forces, girl scouts, religion, nasa, etc.) management techniques to the business world. 

most, possibly all, are of little value because of major differences. 

1)members constituting the varying organizations are motivated differently, and face greatly significantly different situations. what does eg. a fighter pilot or football coach have in common with a pharmicist, nurse, professor, financial analyst, etc.? i have no idea. 

2)key success factors vary from one business to another. for merck, it may be speed of developing new drugs, getting through fda approval, and motivating physicians to use them. for nucor steel, it undoubtedly rests much more on low-cost production. again, what does either have to do with fighter pilots - little, if anything. 

one is better off reading books from similar situations - eg. about wal-mart (if you are in retailing), about allied-signal or g.e. (if you are managing a conglomerate), and about new york community school district #4, as managed by sy fliegel, if you are in public school
"
1560,"drenched with light and clarity, this book is an empowering and practical guide to accessing one's inner wisdom. reading marcia emery's book inspires joy, and the freedom of true knowledge and acceptance of oneself.       marcia emery's various exercises for communicating with your inner wisdom  are not only effective, but will put you in touch with an infinite source  of love and joy. awaken your intuition - and more energy than you've ever  known
"
